곡명,관련설교,유형,주제태그,추천용도,회중숙지도,Youtube 링크,난이도,최근사용,사용횟수,비고,가사링크,기쁨으로찬양번호,조옮김코드
부활하신 주님,,CCM,"부활, 소망","예배전찬양, 응답찬양",새로운 곡,,보통,0,0,,,,
할렐루야 아멘,,성가대곡,"부활, 찬양",성가대특송,보통,,어려움,0,0,,,,
여호와는 나의 목자시니,,성가대곡,"은혜, 평안",성가대특송,보통,,어려움,0,0,,,,
주 하나님 지으신 모든 세계,,찬송가,"감사, 찬양",예배전찬양,매우 익숙,,쉬움,0,0,,,,
주의 사랑이 나를 놀라게 하네,,CCM,"감사, 은혜","예배전찬양, 응답찬양",보통,,보통,0,0,,,,
그 사랑 얼마나,십자가 복음으로 하나 되라 (https://app.notion.com/p/344cfb078efd81d0b685ed2acbf330c2?pvs=21),CCM,"십자가, 은혜","예배전찬양, 응답찬양",보통,,쉬움,1,1,,,,
나 같은 죄인 살리신(주찬양 주찬양 내 마음다해),,찬송가,"십자가, 은혜","예배전찬양, 응답찬양",매우 익숙,,쉬움,0,0,,,,
감사함으로 그 문에 들어가며,,CCM,"감사, 찬양",예배전찬양,매우 익숙,,쉬움,0,0,,,,
내 영혼의 그윽히 깊은 데서,,찬송가,"은혜, 평안",응답찬양,매우 익숙,,쉬움,0,0,,,,
예수 나의 첫사랑,"내 영혼아, 여호와를 송축하라! (https://app.notion.com/p/33dcfb078efd81b8be8bc13e663cdb01?pvs=21)",CCM,"기도, 은혜",응답찬양,새로운 곡,,보통,1,1,,,,
내 평생에 가는 길,,성가대곡,믿음,성가대특송,매우 익숙,https://www.youtube.com/watch?v=mNwz0ttmxGI,쉬움,0,0,,,,
주 하나님 크신 은혜,,찬송가,"감사, 믿음, 은혜, 인도","예배전찬양, 응답찬양",매우 익숙,,쉬움,0,0,Great Is Thy Faithfulness / 찬송가 309장. 헤세드(하나님의 신실한 사랑) 주제에 최적.,,,
주님 내게 오시면,,CCM,"은혜, 회개",예배전찬양,보통,,보통,0,0,,,,
나의 힘이 되신 여호와여,나의 크로노스와 하나님의 카이로스 (https://app.notion.com/p/33dcfb078efd81afb5f9e5b6d4cefa1f?pvs=21),CCM,인도,예배전찬양,매우 익숙,,쉬움,1,1,,,,
마음   속에  근심 있는 사람,,CCM,평안,성가대특송,매우 익숙,,쉬움,0,0,,,,
예수 따라가며,,찬송가,"믿음, 소망, 인도","예배전찬양, 응답찬양",매우 익숙,,쉬움,0,0,"찬송가 449장. '예수 따라가며 복음 순종하면 어려운 일 당해도 족한 은혜 주시네'. 부르심의 자리에서 순종하는 삶을 고백하는 응답찬양. 고전 7:17,20,24 '부르심 받은 그 자리'와 7:26 '임박한 환난' 속에서의 순종과 직결.",,,
내 안에 부어주소서,,CCM,,,,,,0,0,,,50,G
나 같은 죄인 살리신,,CCM,,,,,,0,0,,,28,G
그때 그 무리들과 함께,,CCM,,,,,,0,0,,,22,G
감사드립니다,,CCM,,,,,,0,0,,,3,D
내 삶의 이유,,CCM,,,,,,0,0,,,48,C
구원자 주 예수,,CCM,,,,,,0,0,,,19,D
나는 주의 친구,,CCM,,,,,,0,0,,,33,C
경배하리 주 하나님,,CCM,,,,,,0,0,,,15,G
나 무엇과도 주님을,,CCM,,,,,,0,0,,,29,G
거룩하신 하나님,,CCM,,,,,,0,0,,,11,F
나는 주의 것,,CCM,,,,,,0,0,,,32,G
기쁘다 구주 오셨네,,CCM,,,,,,0,0,,,25,G
나의 삶을 완전히,,CCM,,,,,,0,0,,,36,D
나의 주 나의 하나님,,CCM,,,,,,0,0,,,40,E
나의 피난처,,CCM,,,,,,0,0,,,41,D
경배하리 내 온 맘 다해,,CCM,,,,,,0,0,,,14,G
내 기도하는 그 시간,,CCM,,,,,,0,0,,,45,G
가서 제자 삼으라,,CCM,,,,,,0,0,,,1,A
나의 영혼이 잠잠히,,CCM,,,,,,0,0,,,39,D
갈보리 십자가,,CCM,,,,,,0,0,,,2,F
거룩한 주 하나님,,CCM,,,,,,0,0,,,13,G
감사해요 깨닫지,,CCM,,,,,,0,0,,,5,C
거룩한 땅에,,CCM,,,,,,0,0,,,12,E
그래도 하나님을,,CCM,,,,,,0,0,,,23,D
괴로울 때 주님의,,CCM,,,,,,0,0,,,18,A
감사해,,CCM,,,,,,0,0,,,4,G
날마다 숨쉬는 순간마다,,CCM,,,,,,0,0,,,43,C
기억하라 아름다운,,CCM,,,,,,0,0,,,26,D
거룩 거룩 거룩하신 주,,CCM,,,,,,0,0,,,8,G
나의 반석이신 하나님,,CCM,,,,,,0,0,,,35,A
그 크신 하나님의 사랑,,CCM,,,,,,0,0,,,21,C
고개 들어,,CCM,,,,,,0,0,,,16,A
내 손을 주께 높이 들고,,CCM,,,,,,0,0,,,49,G
나주 없이 살 수 없네,,CCM,,,,,,0,0,,,42,G
내 구주 예수를 더욱 사랑,,CCM,,,,,,0,0,,,44,D
내 눈 열어,,CCM,,,,,,0,0,,,46,C
나는 믿네,,CCM,,,,,,0,0,,,31,G
나의 소망이 되시는,,CCM,,,,,,0,0,,,37,A
거룩하신 주님께 나오라,,CCM,,,,,,0,0,,,9,A
감사해요 주님의 사랑,,CCM,,,,,,0,0,,,6,D
갈릴리 마을,,CCM,,,,,,0,0,,,1,A
나의 가는 길,,CCM,,,,,,0,0,,,34,D
거룩 거룩 거룩,,CCM,,,,,,0,0,,,7,C
나 주님의 기쁨 되기 원하네,,CCM,,,,,,0,0,,,30,G
거룩하신 주님,,CCM,,,,,,0,0,,,10,C
깊은 곳에서 주께 부르짖어,,CCM,,,,,,0,0,,,27,C
내 마음속에 강이 있어,,CCM,,,,,,0,0,,,47,C
기뻐하며 경배하세,,CCM,,,,,,0,0,,,24,G
나의 안에 거하라,,CCM,,,,,,0,0,,,38,G
그 사랑 얼마나,,CCM,,,,,,0,0,,,20,F
광대하신 주,,CCM,,,,,,0,0,,,17,Bb
빈들에 마른 풀 같이,,CCM,,,,,,0,0,,,88,D
새 힘 얻으리,,CCM,,,,,,0,0,,,92,G
높고 높은 보좌에,,CCM,,,,,,0,0,,,60,G
반드시 오실 주님,,CCM,,,,,,0,0,,,82,D
따스한 성령의 바람,,CCM,,,,,,0,0,,,69,G
성령이 오셨네,,CCM,,,,,,0,0,,,94,G
손을 높이 들고 주를 찬양,,CCM,,,,,,0,0,,,97,G
누군가 널 위해 기도하네,,CCM,,,,,,0,0,,,62,G
무화과 나무가 무성치 못하며,,CCM,,,,,,0,0,,,79,G
성령이여 임하소서,,CCM,,,,,,0,0,,,95,F
내 평생에 가는 길,,CCM,,,,,,0,0,,,56,C
두 손 들고 찬양합니다,,CCM,,,,,,0,0,,,68,D
보혈을 지나,,CCM,,,,,,0,0,,,84,C
바라봅니다,,CCM,,,,,,0,0,,,81,D
목마른 사슴,,CCM,,,,,,0,0,,,77,G
모든 것 가능해,,CCM,,,,,,0,0,,,74,D
내 주 되신 주를 참 사랑하고,,CCM,,,,,,0,0,,,54,G
너는 내 것이라,,CCM,,,,,,0,0,,,57,E
높은 산이 무너지고,,CCM,,,,,,0,0,,,61,G
사랑하는 나의 아버지,,CCM,,,,,,0,0,,,90,G
생명 주께 있네,,CCM,,,,,,0,0,,,93,C
내 영혼이 은총 입어,,CCM,,,,,,0,0,,,52,G
당신은 사랑받기 위해,,CCM,,,,,,0,0,,,66,C
사랑하는 주님,,CCM,,,,,,0,0,,,91,A
내 안에 사랑이 없어,,CCM,,,,,,0,0,,,51,G
아름다운 이 세상 아름다운 천지,,CCM,,,,,,0,0,,,99,G
너는 시냇가에,,CCM,,,,,,0,0,,,58,G
다 드리겠습니다,,CCM,,,,,,0,0,,,64,C
너의 하나님 여호와가,,CCM,,,,,,0,0,,,59,G
십자가의 길 순종의 길,,CCM,,,,,,0,0,,,98,G
모든 민족 모든 땅에,,CCM,,,,,,0,0,,,76,G
내 주의 보혈은,,CCM,,,,,,0,0,,,55,G
세상 어느 곳에도,,CCM,,,,,,0,0,,,96,G
다 와서 주를 찬양,,CCM,,,,,,0,0,,,65,D
복음 들고 가리라,,CCM,,,,,,0,0,,,85,C
부르심 있는 곳에,,CCM,,,,,,0,0,,,86,G
무릎 꿇어라,,CCM,,,,,,0,0,,,78,G
맡겨라 모든 것을,,CCM,,,,,,0,0,,,73,D
아버지 하나님,,CCM,,,,,,0,0,,,100,G
부활하신 주님,,CCM,,,,,,0,0,,,87,G
만세반석 열리니,,CCM,,,,,,0,0,,,72,D
내 영혼의 그윽히 깊은 데서,,CCM,,,,,,0,0,,,53,Bb
보내소서,,CCM,,,,,,0,0,,,83,G
모든 능력과 힘,,CCM,,,,,,0,0,,,75,G
사랑합니다 나의 예수님,,CCM,,,,,,0,0,,,89,G
돌아와,,CCM,,,,,,0,0,,,67,G
믿음으로 서리라,,CCM,,,,,,0,0,,,80,C
만복의 근원 하나님,,CCM,,,,,,0,0,,,71,G
마음이 상한 자를,,CCM,,,,,,0,0,,,70,G
눈을 들어 주를 보라,,CCM,,,,,,0,0,,,63,G
눈을 들어,,CCM,,,,,,0,0,,,109,D
모든 지각에 뛰어나신,,CCM,,,,,,0,0,,,134,G
너의 하나님 여호와가,,CCM,,,,,,0,0,,,104,A
모든 민족에게,,CCM,,,,,,0,0,,,131,F
믿음의 형제들이여,,CCM,,,,,,0,0,,,138,G
모든 민족과 열방 향하여,,CCM,,,,,,0,0,,,130,Bb
모든 능력과 모든 권세,,CCM,,,,,,0,0,,,128,A
다 와서 찬양해,,CCM,,,,,,0,0,,,112,G
보좌에 계신 하나님,,CCM,,,,,,0,0,,,142,A
매일 스치는 사람들,,CCM,,,,,,0,0,,,124,C
맑고 밝은 날,,CCM,,,,,,0,0,,,123,E
마지막 날에,,CCM,,,,,,0,0,,,120,F
만복의 근원 하나님,,CCM,,,,,,0,0,,,121,D
당신의 그 섯김이,,CCM,,,,,,0,0,,,115,A
놀라워라,,CCM,,,,,,0,0,,,106,G
두 손 들고 찬양합니다,,CCM,,,,,,0,0,,,116,E
다 찬양하자 주께,,CCM,,,,,,0,0,,,113,F
먼저 그 나라와,,CCM,,,,,,0,0,,,125,D
물이 바다 덮음같이,,CCM,,,,,,0,0,,,167,F
무화과 나무잎이,,CCM,,,,,,0,0,,,136,A
모든 민족과 방언들,,CCM,,,,,,0,0,,,129,G
너의 이름을 새롭게,,CCM,,,,,,0,0,,,103,G
보좌 앞에 무릇 꾸고,,CCM,,,,,,0,0,,,141,F
문들아 머리 들어라,,CCM,,,,,,0,0,,,137,G
모든 열방 주 볼 때,,CCM,,,,,,0,0,,,79,G
불 속이라도 들어가서,,CCM,,,,,,0,0,,,281,F
마음이 지쳐서,,CCM,,,,,,0,0,,,119,G
부흥,,CCM,,,,,,0,0,,,262,G
모든 만물 다스리시는,,CCM,,,,,,0,0,,,127,F
빛 되신 주,,CCM,,,,,,0,0,,,145,E
넘지 못할 산이,,CCM,,,,,,0,0,,,105,Eb
많은 사람들,,CCM,,,,,,0,0,,,122,A
누구든지 목마르거든,,CCM,,,,,,0,0,,,107,G
마음이 상한 자를,,CCM,,,,,,0,0,,,118,F
보좌에 앉으소서,,CCM,,,,,,0,0,,,143,D
눈을 들어 주를 보라,,CCM,,,,,,0,0,,,110,C
모든 근심을 주께 맡겨,,CCM,,,,,,0,0,,,126,C
때로는 너의 앞에,,CCM,,,,,,0,0,,,117,G
당신은 사랑받기 위해,,CCM,,,,,,0,0,,,114,D
너는 시냇가에,,CCM,,,,,,0,0,,,102,E
반가워요 여러분,,CCM,,,,,,0,0,,,140,A
목마른 사슴,,CCM,,,,,,0,0,,,135,C
능력의 이름 예수,,CCM,,,,,,0,0,,,111,C
눈보다 더 희게,,CCM,,,,,,0,0,,,108,F
부흥 2000,,CCM,,,,,,0,0,,,223,C
모든 이름 위에,,CCM,,,,,,0,0,,,133,D
복음 들고 산을,,CCM,,,,,,0,0,,,144,C
모든 영광을 하나님께,,CCM,,,,,,0,0,,,132,G
바다 같은 주의 사랑,,CCM,,,,,,0,0,,,139,G
시와 찬미와,,CCM,,,,,,0,0,,,176,F
성령 하나님 임하소서,,CCM,,,,,,0,0,,,165,D
어린양 예수,,CCM,,,,,,0,0,,,190,A
사랑해요 목소리 높여,,CCM,,,,,,0,0,,,155,E
선포하라,,CCM,,,,,,0,0,,,162,A
손 내밀어 주를 만져라,,CCM,,,,,,0,0,,,172,D
