곡명,Youtube 링크,가사링크,관련설교,기쁨으로찬양번호,난이도,비고,사용횟수,유형,조옮김코드,주제태그,최근사용,추천용도,회중숙지도
부활하신 주님,,,,,보통,,0,CCM,,"부활, 소망",0,"예배전찬양, 응답찬양",새로운 곡
할렐루야 아멘,,,,,어려움,,0,성가대곡,,"부활, 찬양",0,성가대특송,보통
여호와는 나의 목자시니,,,,,어려움,,0,성가대곡,,"은혜, 평안",0,성가대특송,보통
주 하나님 지으신 모든 세계,,,,,쉬움,,0,찬송가,,"감사, 찬양",0,예배전찬양,매우 익숙
주의 사랑이 나를 놀라게 하네,,,,,보통,,0,CCM,,"감사, 은혜",0,"예배전찬양, 응답찬양",보통
그 사랑 얼마나,,,십자가 복음으로 하나 되라 (https://app.notion.com/p/344cfb078efd81d0b685ed2acbf330c2?pvs=21),,쉬움,,1,CCM,,"십자가, 은혜",1,"예배전찬양, 응답찬양",보통
나 같은 죄인 살리신(주찬양 주찬양 내 마음다해),,,,,쉬움,,0,찬송가,,"십자가, 은혜",0,"예배전찬양, 응답찬양",매우 익숙
감사함으로 그 문에 들어가며,,,,,쉬움,,0,CCM,,"감사, 찬양",0,예배전찬양,매우 익숙
내 영혼의 그윽히 깊은 데서,,,,,쉬움,,0,찬송가,,"은혜, 평안",0,응답찬양,매우 익숙
예수 나의 첫사랑,,,"내 영혼아, 여호와를 송축하라! (https://app.notion.com/p/33dcfb078efd81b8be8bc13e663cdb01?pvs=21)",,보통,,1,CCM,,"기도, 은혜",1,응답찬양,새로운 곡
내 평생에 가는 길,https://www.youtube.com/watch?v=mNwz0ttmxGI,,,,쉬움,,0,성가대곡,,믿음,0,성가대특송,매우 익숙
나의 힘이 되신 여호와여,,,나의 크로노스와 하나님의 카이로스 (https://app.notion.com/p/33dcfb078efd81afb5f9e5b6d4cefa1f?pvs=21),,쉬움,,1,CCM,,인도,1,예배전찬양,매우 익숙
주님 내게 오시면,,,,,보통,,0,CCM,,"은혜, 회개",0,예배전찬양,보통
주 하나님 크신 은혜,,,,,쉬움,Great Is Thy Faithfulness / 찬송가 309장. 헤세드(하나님의 신실한 사랑) 주제에 최적.,0,찬송가,,"감사, 믿음, 은혜, 인도",0,"예배전찬양, 응답찬양",매우 익숙
